Name,Type,Key Points,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Sources
Echinococcus granulosus,Helminth,Associated with contamination of dog feces; Cyst rupture can trigger anphylaxis,"Worms that predominantly invade liver, followed by lungs",,,,Surgical cyst removal; Albendazole/praziquantel; Aspiration ,,Anaphylaxis; Cholangitis/biliary obstruction; Peritonitis if intraperitoneal; Pneumonia if in lungs,Symptoms due to cyst rupture,
Eikenella corrodens,Bacteria,,Human bites,Gram negative,,Facultative aerobe,PCN; Antibiotics; NSAID; Steroids,,,,
Entamoeba histolytica,Protozoa,"Liver abscess with ""anchovy paste"" contents; Parasite ""eats"" RBCs",Humans are only known host; Associated with fecal contamination of water,,"Amoeba with prominent nucleus (""target-shaped"")","Visualization in stool (O&P x3); Extraintestinal: needle aspiration, serology",Metronidazole,,Intestinal and extraintestinal ameobiasis; Prominent flask-shaped ulcers in colon; Lactose intolerance post-infection,"Mucoid, bloody stools; Weight loss; Abdominal pain; Fever",
Enteroaggregative Escherichia coli (EAggEC or EAEC),Bacteria,Stacked brick appearance,,Gram negative,Rod,,,,Infant diarrhea; Adult diarrhea,Inflammatory diarrhea with occasional blood and mucus,
Enterobius vermicularis,Nematode,"AKA ""Pinworm""",,,,Scotch tape test,,,,Anal itching,
Enterohemorrhagic Escherichia coli (EHEC),Bacteria,Hamburger; Hemolytic uremic syndrome; Hemorrhagic colitis; Hold the antibiotics!,Food poisoning; crowded places,Gram negative,Rod,Sorbitol fermenter (SMAC plate),,,Hemorrhagic colitis (bloody diarrhea); Hemolytic uremic syndrome,,
Enteroinvasive Escherichia coli (EIEC),Bacteria,I for identical to Shigella but doesn't produce Shiga toxin,,Gram negative,Rod,Lactose fermenter,,,Bacillary dysentery,Watery diarrhea to dysentery,
Enteropathogenic Escherichia coli (EPEC),Bacteria,"P for protracted, pediatric diarrhea in poor countries; Plasmid-mediated virulence factors; Pedestal formation; Passive protection from breast milk",,Gram negative,Rod,,,,Infant diarrhea,,
Enterotoxigenic Escherichia coli (ETEC),Bacteria,T for Traveler; Two toxins LT and ST,,Gram negative,Rod,,,,Traveler's diarrhea; Children's diarrhea,Watery diarrhea,
Escherichia coli,Bacteria,Associated with fecal contamination,Facultative anaerobe,Gram negative,Rod,Aerobe,PCN; Antibiotics; NSAID; Steroids,,Urinary tract infection (UTI),,
Fasciola hepatica,Fluke,Transmission associated with aquatic plants; Major agricultural pathogen throughout world,,,,,Triclabendazole,,,,
Gardnerella vaginalis,Bacteria,Common cause of bacterial vaginosis,Fishy vaginal odor,Gram variable,Rod,Amine whiff test,Metronidazole or clindamycin,,Bacterial Vaginosis,Gray vaginal discharge with fishy odor,
Giardia lamblia,Protozoa,Associated with mountain stream water,,,,,Metronidazole,,,"Flatulence, steatorrhea, ""foul smelling stools""; Weight loss; Debilitation",
Haemophilus influenzae,Bacteria,Classic respiratory bug,Six capsular types; Type B prominent in unvaccinated populations; Non-typable strains increasingly prominent,Gram negative,"Curved (""safety pin"") coccobaccilli",Growth requires X and V factors (Chocolate Agar); Oxidase positive,3rd-generation Cephalosporins pending antibiotic sensitivities,,Acute otitis media (AOM); Meningitis (particularly in unvaccinated children); Pneumonia; Upper respiratory infection (URI),,
Helicobacter pylori,Bacteria,Type I carcinogen; Major cause of peptic ulcers,Microaerophilic,Gram negative,Spiral shaped (rod),Urease positive; Giemsa stain; Wurthin-Starry stain; IgG Serology (ever infected); Fecal antigen test (current infection); Urea breath test (current infection),"Triple therapy (10-14 days) PPI (esomeprazole), Amoxicillin, Clarithromycin; Quadruple therapy (10-14 days) PPI (esomeprazole), Metronidazole, Tetracycline, Bismuth subsalicylate",,Gastritis; Gastric adenocarcinoma; Gastric ulcers; MALT lymphoma,,
Hepatitis A,Virus,Associated with contaminated water or shellfish,Fecal-oral transmission,,,Serology; Elevated AST and ALT,Typically self-limiting,Vaccine,Viral Hepatitis,Fever; Abdominal pain; Jaundice,
Hepatitis B,Virus,Spread by sexual contact,,,,anti-HBsAb = vaccinated; anti-HBcAb = current or previous infection; anti-HBeAb = actively dividing; HBsAg + anti-HBc IgM + anti-HBc = acute infection; HBsAg + anti-HBc = chronic infection,"Interferon-alpha, antivirals",Vaccine; Standard Precautions,Viral Hepatitis,,CDC url:https://www.cdc.gov/hepatitis/hbv/pdfs/serologicchartv8.pdf
Hepatitis C,Virus,Blood transfusion related; IV Drug use,Commonly progresses to chronic hepatitis infection,,,Presence of HCV RNA,,Standard Precautions,Viral Hepatitis,,
Hepatitis D,Virus,Requires Hepatitis B infection to replicate,,,,,,Vaccination against Hepatitis B typically preventative,Viral Hepatitis,,
Hepatitis E,Virus,Increased mortality in pregnant women,Fecal-oral transmission,,,,,,Viral Hepatitis,,
Herpes Simplex Virus,Virus,Vertical Transmission (TORCHeS infection); HSV-1 latent in trigeminal ganglia; HSV-2 latent in sacral ganglia,#1 Cause of Sporadic Encephalitis,,"Double-Stranded, Linear, Enveloped DNA virus; icosahedral capsid",Fluoroscein slit lamp exam shows corneal ulcers; Tzanck smear shows multinucleated giant cells,Acyclovir or valacylovir,,Encephalitis; Keratoconjunctivitis; Herpes labialis; Gingivostomatitis; Aseptic meningitis,Cold sores; Erythema multiforme; Inguinal lymphadenopathy (HSV-2),
Histoplasma capsulatum,Fungus,Predominantly occurs in Ohio River valley region,,,Dimorphic fungus (yeast form in active infection),,Supportive for mild; Itraconazole for moderate; Amphotericin B for severe infection,,Histoplasmosis,,
Hookworm Necator americanus,Nematode,,,,,,,,,,
Human Immunodeficiency Virus (HIV),Virus,Causative agent of AIDS,"Retrovirus, Lentiviruses",,Positive ssRNA,ELISA; Western blot; PCR,Anti-retroviral medications (e.g. AZT); HAART url:https://aidsinfo.nih.gov/guidelines/html/1/adult-and-adolescent-arv-guidelines/11/what-to-start,Standard Precautions; Safe sexual practices and screening; PREP url:https://www.cdc.gov/std/tg2015/clinical.htm#prep,AIDS,"Children: Seizures, motor deficits, acquired microcephaly, behavioral and cognitive decline",
Human Papillomavirus (HPV),Virus,Common STI; Strong association with many cancers (SCC and cervical),Most common STI,,,,,HPV Vaccine (Gardasil)-targets HPV strains 6 and 11 (genital warts) and 16 and 18 (cervical cancer),"Genital warts (papilloma, condyloma, verruca vulgaris); Cervical cancer; Squamous esophageal carcinoma; Esophagitis",,
Japanese Encephalitis virus,Virus,,Flavivirus,,Enveloped,Serology,,Inactivated mouse brain-derived vaccine; Inactivated Vero cell-derived vaccine; Live attenuated vaccine; Live recombinant vaccine,Encephalitis,"Flu-like symptoms; Fever, rash, aches, chills",
JC Virus,Virus,Immunocompromised host,Polyomavirus,,,,,,Progressive Multifocal Leukoencephalopathy (PML),,
Klebsiella pneumoniae,Bacteria,Associated with infection of immunocompromised patients,,Gram negative,Rod,Lactase positive; Mucoid colonies,"Cephalosporins, aminoglycosides, quinolones (significant antibiotic resistance)",Hand-washing; Gown and gloves in infected areas,Lobar pneumonia; Urinary tract infection (UTI),,
La Crosse virus,Virus,,Bunyavirus,,,,,,Pediatric arbovirus encephalitis,Flu-like symptoms,
Lactobacilli,Bacteria,,Facultative anaerobic or microaerophilic,Gram positive,Rod,,,,Dental caries/cavities,,
Legionella pneumophilia,Bacteria,Pulmonary pathogen associated with contaminated water; Uniquely associated with GI symptoms,Often transmitted through contaminated water; Intracellular pathogen; Associated with age and immunosuppression,Gram-negative (does not take up gram stain in sputum),Slender bacilli,BCYE for growth (uncommon); Serology; Antigen testing (from urine or bronchoalveolar lavage),Macrolides; Fluoroquinilones,,Legionellosis (Legionnaire's disease); Pontiac Fever; Atypical pneumonia,Fever; Chills; Headache; Pneumonia; GI symptoms,
Listeria monocytogenes,Bacteria,Associated with cold cuts/lunch meat and ice cream,"Food-borne pathogen; Psychrophilic (grows at cold temperatures) or mesophilic (grows at moderate temperatures); Facultative intracellular pathogen (cell mediated immunity); Motile, hemolytic, non-spore-forming; Listeriolysin O (virulence factor); Moves within cells by using host actin polymerization",Gram positive,Rod,Facultative anaerobe; Nonsporulating; Catalase and CAMP test positive; Beta-hemolytic,,Proper food handling and cooking; Avoid raw/unpasteurized milk or milk products,Gastroenteritis; Miscarriage and stillbirths,Flu-like illness,
Malassezia furfur,Fungus,Associated with neonates receiving lipid infusions or TPN,"Confined to stratum corneum, damages melanocytes through lipid degradation",,"KOH prep shows ""spaghetti and meatball"" appearance url:https://img.medscapestatic.com/pi/meds/ckb/66/43166tn.jpg",,Topical selenium sulfide (Selsun Blue),,Pityriasis/tinea versicolor url:https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Tinea_versicolor1.jpg/510px-Tinea_versicolor1.jpg,Hypo and hyper pigmented skin patches,
Measles virus,Virus,,Paramyxovirus; (-) ssRNA; Makes syncitium,,,,Vitamin A (if severe),MMR vaccine; Airborne precautions,Measles; Subacute sclerosing panencephalitis 10 years after infection,"Maculopapular rash spreading from face to body; Cough; Coryza; Conjunctivitis; Koplik’s spots (mouth)",
Moraxella (Branhamella) catarrhalis,Bacteria,Classic respiratory bug,,Gram negative,Diplococcus,,,,Acute otitis media (AOM);  Upper respiratory infection (URI),,
Mumps virus,Virus,,Paramyxovirus; (-) ssRNA,,Enveloped,,,MMR vaccine,Aseptic meningitis; Meningoencephalitis; Unilateral nerve deafness; Epididymoorchitis,"Swollen, painful salivary glands on one or both sides of face",
Micobacterium avium,Bacteria,AIDS defining; CD4 < 50,,Does not gram stain,Acid-fast; Bacillus,,,Azithromycin; Clarithromycin,Micobacerium Avium Complex (MAC) infection with 3+ micobacterium species,,
Mycobacterium leprae,Bacteria,,,Does not gram stain,Acid-fast; Bacillus,,,,Leprosy,,
Mycobacterium tuberculosis,Bacteria,,Strict aerobe,Does not gram stain,Acid-fast; Bacillus,"Positive PPD test (false-positives with previous BCG vaccination); Chest X-ray, Positive Interferon gamma assay","RIPE (rifampin, isoniazid, pyrazinamide, ethambutol)",,Tuberculosis; Addisons (primary adrenal insuffiency); Potts url:https://en.m.wikipedia.org/wiki/Pott_disease,Upper lobe cavitary lesion,
Mycoplasma pneumoniae,Bacteria,,"Cause of atypical pneumonia, especially in school children, young adults in close proxmity, and elderly",No cell wall; do not gram stain,"Pleomorphic; ""fried egg"" colonies; small bacteria","Serology, cold agglutination; Laboratory growth requires serum","Tetracycline, macrolides",,Atypical pneumonia,Variable; can range from walking pneumonia to sever infection,
Neisseria gonorrhoeae,Bacteria,Causative agent of gonorrhea; Common cause of conjunctivitis in neonates,,Gram negative,Diplococcus,,Pelvic: Ceftriaxone (add azythro/doxy to cover chlamydia); Eye: Ceftriaxone,Eye: Topical erythromycin,Gonorrhea; Pelvic inflammatory disease; Conjunctivitis,,
Neisseria meningitidis,Bacteria,Important cause of meningitis in adolescents and young adults,Antiphagocytic capsule - 13 serogroups,Gram negative,Diplococcus,Oxidase positive - cytochrome C oxidase = blue; Requires blood and 5-10% CO2 for growth; Chocolate agar,Antibiotics depend on site,Vaccine - tretravalent conjugate vaccine; Cipro or rifampin prophylaxis for close contacts,Meningitis,Petechiae and/or purpura; Waterhouse-Friderichsen syndrome,
Nocardia,Bacteria,Found in soil,Aerobe,Gram positive,"Long, branching filaments",Acid fast,Sulfonamides,,Pulmonary infections in immunocomprimised,,
Norovirus,Virus,"Quick spread in close quarters - cruise ships, daycare, etc",Gastroenteritis,,Non-enveloped; Icosahedral,RT-PCR; Antigen detection,Rehydration,,Vomiting; Diarrhea,,
Opisthorchis,Fluke,Ingestion of raw fish,,,,,,,Cholangiocarcinoma,,
Parvovirus B19,Virus,,,,,,,,Fifth disease; Aplastic crisis in sickle cell; Fetal hydrops/abortion in pregnancy,Slapped cheek,
Pasteurella multocida,Bacteria,,Dog and cat bites,Gram negative,Coccobacillus,Facultative aerobe,,,,,
Plasmodium falciparum,Protozoa,Causative agent of malaria; Anopheles mosquito vector,Sequestration url:https://drive.google.com/open?id=0B--fNq9GhKcdNjZIQWVrYlVMU0U,,Banana url:https://drive.google.com/file/d/0B--fNq9GhKcdb1RmNXo2OElQTk0/view?usp=sharing; Headphones url:https://drive.google.com/file/d/0B--fNq9GhKcdd0QyeDQ0VFVjN28/view?usp=sharing,Microscopy (thick and thin); Rapid Diagnostic Test (RDT) url:https://www.cdc.gov/malaria/diagnosis_treatment/rdt.html,Quinolones; Artemisins,Prevent mosquito bites,Malaria,,
Plasmodium knowlesi,Protozoa,Malaria in macaque monkeys or humans; Anopheles mosquito vector,,,,,,"Prevent mosquito bites; Mefloquine, Chloroquine",Malaria,,
Plasmodium malariae,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Plasmodium ovale,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Plasmodium vivax,Protozoa,Anopheles mosquito vector,,,,,,Prevent mosquito bites,Malaria,,
Pneumocystis jirovecii (PCP),Fungus,AIDS defining; CD4 < 200,,,,,TMP-SMX; Dapsone; Atovaquone,,Pneumonia,,
Poliovirus,Virus,Largely eliminated in most of world due to vaccination,Picornavirus; (+) ss-RNA; Humans only susceptible host; 3 serotypes,,Non-enveloped; Icosahedral,,,"Salk (IPV): formalin inactivated; Sabin (OPV): oral, live attenuated",Meningitis; Polio,Flaccid paralysis; Respiratory paralysis and death,
Porphyromonas gingivalis,Bacteria,"Associated with diabetes mellitus, cardiovascular diseases, adverse pregnancy outcomes",,,,,,,Periodontitis,,
Powassan,Virus,,Flavivirus,,Enveloped,Serology,,,Encephalitis,Flu-like symptoms; Fever; Rash; Aches; Chills,
Prion,Infectious protein,,"Highly resistant to inactivation; Transmission: genetic, iatrogenic, ingestion",,,,Supportive,,Kuru; Creutzfeldt-Jakob disease; Gerstmann-Streussler-Shanker disease; Fatal famililal insomnia variant Creutzfeldt-Jakob disease,Dementia; Myoclonus; Extrapyramidal and pyramidal signs; Aphasia/apraxia/agnosia; Visual loss,
Proteus mirabilis,Bacteria,,,Gram negative,Rod,Urease positive (alkaline urine); Swarming motility in culture; Lactase negative; Indole negative; H2S positive,,,Urinary tract infection (UTI),,
Pseudomonas aeruginosa,Bacteria,,Strict aerobes; Ubiquitous in environment (especially water); Particularly affects immunocompromised individuals,Gram negative,Rod; Flagellated; Prominent biofilm production,Oxidase positive; Pyocyanin pigment production; Lactase negative; Growth on MacConkey agar,Piperacillin/tazobactam,,"Otitis externa (""swimmer's ear""); Folliculitis; Pneumonia in cystic fibrosis patients",,
Rabies,Virus,Bullet-shaped; Negri bodies,Rhabdovirus; (-) ssRNA,,Enveloped; Bullet-shaped,Staining of brain; Direct fluorescence antibody stain,Wound cleansing; Human Rabies immune globulin; Rabies vaccination,Vaccine,Acute encephalitis,"Fever, headache, tingling, pain, itching at bite site; Hyperactivity, throat spasm, hydrophobia, hypersalivation, delirium, coma, death",
Rickettsia rickettsii,Bacteria,SE United States; Tick born,,Gram negative,Coccobacillus,,Doxycycline,,Rocky Mountain Spotted Fever (RMSF),Rash starts on wrists and ankles and spreads centrally and to palms and soles,
Rotavirus,Virus,Most common cause of infantile diarrhea; Predominantly affects children < 2 years,Segmented dsRNA genome; Infects enterocyes of small intestinal villi,,Non-enveloped; Icosaheadral,Serology; ELISA (stool); RT-PCR,Supportive (disease largely self-limited),Vaccines available,Winter Diarrhea,Nausea/vomting; Watery diarrhea; Loss of appetite,
Salmonella enterica,Bacteria,"Associated with raw eggs, chicken, ice cream",,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar); H2S positive,,,,,
Salmonella enteriditis,Bacteria,"Pet turtles, reptiles, ducks, chickens",,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar),,,Food poisoning; Enterocolitis,"Abrupt onset; Low fever; Nausea, vomiting, diarrhea",
Salmonella typhi,Bacteria,Causative agent of typhoid fever,,Gram negative,Rod,Non-lactose fermenter (Mac Conkey agar),Fluoroquinolones; Ceftriaxone; Azithromycin; Screen for vulnerablity due to emerging antibiotic resistance,Whole cell killed; Live attenuated (Ty21A); Purified Vi capsule vaccines,"Typhoid fever; Osteomyelitis (sickle cell); Hepatitis; Cholecystitis; Pyelonephritis; Delirium, coma, deafness, meningitis",Early constipation; Later bloody diarrhea,
Sarcoptes scabiei,Mite,,,,,,Topical permethrin; Oral ivermectin,,Scabies,"Intensely pruritic rash between fingers, on beltline, or other skin creases",
Schistosoma spp,Fluke,Freshwater snails (waters of Egypt),"Blood-fluke, parasitic flatworm",,Haematobium: Single spine on end url:https://upload.wikimedia.org/wikipedia/commons/f/f2/Schistosoma_haematobium_egg_4843_lores.jpg; Mansoni: Single lateral spine url:https://upload.wikimedia.org/wikipedia/commons/9/9a/Schistosoma_mansoni_egg_4841_lores.jpg,,Praziquantel,,Schistosomiasis url:https://en.wikipedia.org/wiki/Schistosomiasis; Bladder cancer,Bloody diarrhea; Hematuria,
Shiga Toxin-producing Escherichia coli (STEC),Bacteria,Similar to EHEC,Food poisoning; Crowded places,Gram negative,Rod,,,,Hemorrhagic colitis; Hemolytic uremic syndrome,,
Shigella boydii,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella dysenteriae,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella flexnerii,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Shigella sonnei,Bacteria,"Fs of Shigella transmission: feces, fingers, fomites, flies",Facultatively anaerobic,Gram negative,Rod,Ferment glucose; Oxidase negative; Non-lactose fermenter (Mac Conkey Agar),,,Reiter's syndrome; Hemolytic uremic syndrome (HUS); Dysentery,,
Sporothrix schenkii,Fungus,Ascending infection of skin along path of lymphatics,Fungal spores introduced through cutaneous cuts and abrasions,,Cigar-shaped yeast; Dimorphic; Hyphae thin and branched,,"Itraconazole, Saturated solution of potassium iodide",,"""Rose Gardener's Disease"" or lymphocutaneous sporotrichosis",,
St. Louis encephalitis virus,Virus,,Flavivirus,,Enveloped,Serology,,,Encephalitis,"Flu-like symptoms; Fever, rash, aches, chills",
Staphylococcus aureus,Bacteria,"Common skin flora; Most common cause of skin infections, food poisoning, and osteomyelitis; MRSA strain common and problematic in health-care settings",,Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase positive,Antibiotics; MRSA resistant to most beta-lactam drugs and treated with vancomycin,,Otitis externa; Osteomyelitis; Skin infections; Food poisoning,,
Staphylococcus epidermidis,Bacteria,Classically infects implanted devices,,Gram positive,Cocci in clusters,Catalase positive; Oxidase negative; Coagulase negative,,,Implanted devices,,
Streptococcus agalactiae,Bacteria,Most common cause of neonatal meningitis,Group B streptococci; Virulence factor = capsules,Gram positive,Cocci,Catalase negative; Beta-hemolytic and bacitracin insensitive; CAMP test positive,,During labor: IV Penicillin G; Ampicillin,Meningitis; Cellulitis; Septicemia; Pneumonia,,
Streptococcus mutans,Bacteria,,Dental plaque,Gram positive,Cocci,,,,Dental caries,,
Streptococcus pneumoniae,Bacteria,Important cause of meningitis in infants/children and older adults; Classic respiratory bug,Major cause of typical community-acquired infections and otitis media,Gram positive,Lancet-Shaped Diplococci,Alpha-hemolytic; Optochin senstive; Bile soluble,Antibiotics (screen for sensitivity-many resistant to penicillin),,Acute otitis media (AOM); Pneumococcal pneumonia; Meningitis; Upper respiratory infection (URI),,
Streptococcus pyogenes ,Bacteria,"Cause of ""Step throat""; Common cause of necrotizing fasciitis","Group-A strep (GAS); Group-A, Beta-Hemolytic Strep (GABHS)",Gram positive,Cocci,Beta-hemolytic; Bacitracin-sensitive,Penicillin,,"Tonsillitis; Rheumatic Fever; Post-streptococcal glomerulonephritis; Scarlet fever (2 days after pharyngitis, sandpaper rash, strawberry tongue); Impetigo",,
Streptococcus viridans,Bacteria,,Dental carries,Gram positive,Cocci,Alpha-hemolytic; Optochin resistant; Bile insoluble,,,,,
Strongyloides stercoralis,Nematode,Exacerbated by immunosuppressive therapy,,,,,,,,,
Taenia saginatum,Cestode,Associated with undercooked beef,,,,,Praziquantel or albendazole,,,,
Taenia solium,Cestode,Associated with raw pork,,,,,Praziquantel or albendazole,,Neurocysticercosis,,
Toxoplasma gondii,Protozoa,Found in cat feces and raw/undercooked meat; Avoid in pregnancy; AIDS defining; CD4 < 100,Obligate intracellular,,,,"Pyrimethamine, Sulfadiazine, and Folate x1 year; TMP-SMX or atovaquone (HIV with CD4 < 100)",,Macrocephaly; Chorioretinitis,Diffuse intracranial calcifications,
Treponema pallidum,Bacteria,Disease presents in 3 stages with significant latency period; Advanced cases associated with neurologic sequelae,,Gram negative,Spirochete,,Penicillin,Safe sex practices; STI screening,Syphilis,"Stage 1: Chancre sore; Stage 2: rash progressing from trunk to entire body; Can enter latent (dormant) phase following Stage 2; Stage 3: organ damage, neurological symptoms (signs of posterior column deterioration)",
Trichinella spiralis,Nematode,Associated with raw pork,,,,,,,,,
Trichomonas vaginalis,Protozoa,,,,,"Motile, flagellated organisms on microscopy",Metronidazole,Safe sex (condoms),Trichomoniasis (STI); Vaginitis,Frothy green vaginal discharge; Foul-smelling odor; Strawberry cervix,Wikipedia url:https://en.wikipedia.org/wiki/Trichomonas_vaginalis
Trichophyton rubrum,Fungus,,,,,,"Topical antifungal (terbinafine, clotrimazole)",,Tinea corporis (ringworm),,
Tropheryma whippelii,Bacteria,,,Gram positive,Bacillus,Intestinal biopsy with PAS-positive macrophages,,,Whipple's disease (farmers),Malabsorptive diarrhea; Migratory non-deforming arthritis,
